Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,40.625000,42.125000,37.062500,41.437500,27.178673,82254300
2000-01-01,41.437500,48.125000,39.750000,44.500000,29.187363,88993300
2000-02-01,44.187500,45.187500,35.875000,36.937500,24.227150,74708700
2000-03-01,36.625000,38.937500,32.000000,37.812500,24.886040,103214900
2000-04-01,37.750000,41.250000,34.062500,39.687500,26.120054,78544600
2000-05-01,39.687500,40.187500,36.250000,39.062500,25.708721,64366700
2000-06-01,39.312500,42.250000,37.687500,41.812500,27.619534,68452600
2000-07-01,41.812500,50.250000,41.437500,48.812500,32.243423,88994200
2000-08-01,48.812500,54.875000,45.312500,53.640598,35.432667,99636200
2000-09-01,53.750000,66.937500,53.750000,64.500000,42.729099,117177500
2000-10-01,61.250000,67.875000,54.000000,67.812500,44.923504,100721600
2000-11-01,67.812500,70.000000,61.937500,69.062500,45.751614,73634500
2000-12-01,68.687500,70.937500,61.437500,66.000000,43.816906,78675100
2001-01-01,65.312500,65.312500,54.560001,58.500000,38.837719,82636600
2001-02-01,58.500000,63.900002,56.040001,62.200001,41.294094,53226700
2001-03-01,61.860001,65.599998,49.700001,55.709999,37.096607,99171000
2001-04-01,55.709999,64.910004,53.919998,61.799999,41.151875,64908300
2001-05-01,62.700001,69.849998,62.330002,62.889999,41.877686,65270400
2001-06-01,62.900002,67.550003,55.400002,55.599998,37.121002,84393900
2001-07-01,56.299999,58.900002,52.549999,58.529999,39.077198,63885800
2001-08-01,58.650002,59.799999,50.169998,51.200001,34.183376,63814400
2001-09-01,49.750000,51.970001,27.600000,33.500000,22.434313,150537400
2001-10-01,33.500000,38.099998,32.049999,32.599998,21.831602,125074600
2001-11-01,32.500000,36.250000,31.580000,35.099998,23.505808,84489300
2001-12-01,35.099998,39.419998,34.029999,38.779999,26.102249,69709300
2002-01-01,38.540001,41.889999,37.650002,40.950001,27.562843,80548400
2002-02-01,41.000000,47.470001,40.500000,45.959999,30.935001,77223700
2002-03-01,46.549999,51.070000,45.250000,48.250000,32.611923,74848200
2002-04-01,48.250000,50.049999,41.000000,44.599998,30.144901,102356900
2002-05-01,44.900002,46.029999,42.459999,42.650002,28.826916,60754000
2002-06-01,43.400002,45.090000,41.450001,45.000000,30.529383,56211000
2002-07-01,44.970001,45.279999,37.099998,41.520000,28.168438,97626200
2002-08-01,41.000000,41.650002,34.099998,37.070000,25.149427,92061100
2002-09-01,36.799999,37.799999,33.200001,34.130001,23.261051,66248400
2002-10-01,34.320000,36.020000,28.530001,29.750000,20.275898,110612900
2002-11-01,29.790001,35.139999,29.559999,34.049999,23.206522,81189500
2002-12-01,34.599998,34.880001,31.250000,32.990002,22.605476,55484500
2003-01-01,33.000000,34.590000,30.200001,31.590000,21.646170,56222600
2003-02-01,30.900000,31.629999,27.240000,27.559999,18.884731,64693900
2003-03-01,27.700001,28.420000,24.730000,25.059999,17.265615,102161300
2003-04-01,25.370001,28.660000,25.200001,27.280001,18.795139,99215500
2003-05-01,27.170000,30.860001,27.000000,30.670000,21.130743,92016400
2003-06-01,31.100000,37.360001,31.000000,34.320000,23.782310,108420900
2003-07-01,34.099998,35.549999,31.160000,33.119999,22.950768,90229500
2003-08-01,32.709999,37.459999,31.000000,37.389999,25.909697,66343600
2003-09-01,37.290001,38.900002,33.660000,34.330002,23.913908,69764000
2003-10-01,34.500000,39.209999,34.400002,38.490002,26.811710,67044700
2003-11-01,38.540001,40.150002,37.610001,38.389999,26.742062,57725000
2003-12-01,37.599998,43.369999,37.599998,42.139999,29.485077,75988600
2004-01-01,42.500000,44.709999,41.470001,41.750000,29.212208,63605500
2004-02-01,41.669998,45.099998,41.599998,43.369999,30.345711,69555100
2004-03-01,43.380001,43.869999,38.040001,41.070000,28.848448,70860900
2004-04-01,41.070000,44.900002,40.310001,42.689999,29.986374,53867200
2004-05-01,43.250000,46.619999,42.290001,45.799999,32.170898,63649200
2004-06-01,45.900002,51.490002,45.509998,51.090000,36.054333,75091100
2004-07-01,50.099998,51.250000,46.400002,50.750000,35.814400,67542700
2004-08-01,50.200001,52.820000,48.270000,52.220001,36.851780,65486800
2004-09-01,52.099998,55.240002,50.500000,51.619999,36.575790,62223000
2004-10-01,51.619999,52.869999,48.099998,49.900002,35.357086,69454500
2004-11-01,50.099998,55.480000,49.650002,53.570000,37.957500,71858700
2004-12-01,53.599998,55.290001,51.619999,51.770000,36.823528,63851600
2005-01-01,51.849998,52.250000,49.520000,50.599998,35.991325,68299400
