Date,Open,High,Low,Close,Adj Close,Volume
2008-03-01,14.875000,17.250000,13.750000,15.590000,12.398198,1273903200
2008-04-01,15.765000,21.202499,15.077500,20.862499,16.591236,1385323600
2008-05-01,21.097500,22.459999,18.590000,21.590000,17.169786,1553713600
2008-06-01,21.552500,22.025000,19.400000,20.327499,16.165770,1021827600
2008-07-01,19.910000,20.600000,16.627501,18.264999,14.525533,1332604400
2008-08-01,18.325001,19.132500,17.277500,18.975000,15.090169,634163200
2008-09-01,19.207500,19.375000,13.972500,15.347500,12.276166,1019273600
2008-10-01,15.187500,15.527500,10.935000,13.837500,11.068349,1210149200
2008-11-01,13.980000,15.112500,10.885000,13.140000,10.510429,767408000
2008-12-01,12.750000,14.417500,11.882500,13.112500,10.570974,564085600
2009-01-01,13.230000,14.495000,10.445000,12.337500,9.946188,642446400
2009-02-01,12.065000,14.487500,11.885000,14.177500,11.429551,745543200
2009-03-01,13.982500,14.242500,12.185000,13.900000,11.293924,927795200
2009-04-01,13.687500,17.000000,13.407500,16.240000,13.195201,891698000
2009-05-01,16.037500,17.139999,15.660000,16.927500,13.753805,794688800
2009-06-01,17.125000,17.809999,15.067500,15.565000,12.728725,772214000
2009-07-01,15.570000,17.420000,14.500000,16.365000,13.382949,614990800
2009-08-01,16.547501,17.830000,16.475000,17.775000,14.536015,375914800
2009-09-01,17.695000,18.747499,17.152500,17.277500,14.216200,396206800
2009-10-01,17.192499,19.549999,16.635000,18.940001,15.584129,637483200
2009-11-01,19.022499,20.492500,18.950001,20.250000,16.662022,360618800
2009-12-01,20.360001,22.422501,19.677500,21.865000,18.102858,819810000
2010-01-01,22.000000,22.192499,20.152500,20.507500,16.978933,348074000
2010-02-01,20.572500,21.940001,20.135000,21.320000,17.651636,398111200
2010-03-01,21.375000,23.407499,21.320000,22.757500,18.955614,471528000
2010-04-01,22.920000,24.297501,22.504999,22.557501,18.789028,330428400
2010-05-01,22.637501,22.817499,17.072500,18.115000,15.088695,1318828000
2010-06-01,18.122499,20.947500,17.504999,17.687500,14.820664,789074800
2010-07-01,17.750000,19.450001,17.527500,18.337500,15.365307,471789600
2010-08-01,17.745001,18.932501,17.002501,17.245001,14.449887,501453600
2010-09-01,17.457500,18.742500,16.225000,18.565001,15.659964,635893200
2010-10-01,18.684999,20.219999,18.145000,19.540001,16.482403,409629600
2010-11-01,19.645000,20.117500,18.230000,18.462500,15.573505,317080800
2010-12-01,18.735001,20.437500,16.625000,17.594999,14.961456,880941200
2011-01-01,17.600000,18.387501,16.877501,17.462500,14.848790,558037200
2011-02-01,17.552500,19.270000,17.552500,18.262501,15.529043,457333200
2011-03-01,18.467501,18.985001,17.612499,18.405001,15.777167,528332000
2011-04-01,18.497499,19.750000,18.315001,19.530001,16.741539,320730000
2011-05-01,19.615000,20.325001,19.150000,20.264999,17.371590,399527600
2011-06-01,20.190001,21.840000,18.277500,21.065001,18.192799,786230000
2011-07-01,21.025000,22.707500,20.900000,21.385000,18.469172,452779200
2011-08-01,21.750000,22.212500,19.027500,21.969999,18.974407,643794800
2011-09-01,21.930000,23.687500,20.812500,21.430000,18.638323,482022400
2011-10-01,21.242500,23.967501,20.427500,23.315001,20.277769,419068000
2011-11-01,22.790001,24.257500,22.195000,24.242500,21.084446,336694000
2011-12-01,23.980000,25.862499,23.762501,25.382500,22.280968,313435600
2012-01-01,25.850000,26.049999,24.582500,25.160000,22.085655,305384400
2012-02-01,25.295000,29.840000,25.150000,29.092501,25.537640,359655600
2012-03-01,29.362499,30.174999,28.385000,29.500000,26.094610,251469200
2012-04-01,29.500000,31.052500,29.120001,30.745001,27.195894,250660400
2012-05-01,30.867500,31.337500,28.125000,28.799999,25.475418,401376000
2012-06-01,28.410000,31.237499,27.985001,30.907499,27.547520,295216800
2012-07-01,31.065001,33.087502,29.775000,32.267502,28.759678,294764000
2012-08-01,32.125000,33.145000,31.452499,32.062500,28.576963,218263200
2012-09-01,32.090000,34.162498,31.737499,33.570000,30.124670,252855600
2012-10-01,33.717499,35.775002,33.717499,34.689999,31.129732,228222400
2012-11-01,35.205002,37.482498,34.632500,37.427502,33.586277,249467200
2012-12-01,37.500000,38.127499,36.525002,37.895000,34.323856,216124800
2013-01-01,38.540001,40.692501,38.482498,39.477501,35.757217,237422800
2013-02-01,39.750000,40.220001,38.535000,39.660000,35.922531,244870000
2013-03-01,39.482498,42.740002,38.919998,42.459999,38.785164,259370400
